species,ITS,ETS,accD_psaI,atpF_atpH,ndhF,psbK_psaI,trnS_trnG
sclerophylla,EU055835.1,KF821208.1,KF820409.1,MH744093.1,EU056092.1,KF822395.1,MK006784.1
secundiflora,MK020555.1,MK006527.1,MK006186.1,MK006313.1,NA,MK006594.1,MK006746.1
serialis,MK020544.1,MK006528.1,MK006268.1,MK006327.1,NA,MK006595.1,MK006820.1
setosociliata,MH743877.1,MH743813.1,MH743983.1,MH744094.1,NA,MH743929.1,MK006753.1
shepherdii,MH743878.1,MH743814.1,MH743984.1,MH744095.1,NA,MH743930.1,MK006776.1
stenostachya,NA,NA,NA,NA,NA,NA,NA
suberosa,MK020551.1,MK006587.1,MK006283.1,MK006321.1,NA,MK006598.1,MK006757.1
sylvatica,EU055847.1,KF821235.1,KF820434.1,NA,EU056106.1,KF822422.1,NA
tentaculifera,KF821711.1,KF821237.1,KF820436.1,MH744099.1,NA,KF822424.1,MK006793.1
tiliifolia,NA,NA,NA,NA,NA,NA,NA
valtheri,EU055857.1,KF821267.1,KF820464.1,MH744103.1,EU056115.1,KF822454.1,MK006747.1
weddellii,NA,NA,NA,NA,NA,NA,NA
wildenowii,EU055858.1,KF821272.1,KF820469.1,MH744104.1,EU056117.1,KF822459.1,MK006771.1
wittii,NA,NA,NA,NA,NA,NA,NA
